name,start,end,explanation
Beowulf,700,1000,.
The Book of Kells,800,800,.
Arabian Nights(One Thousand and One Nights),700,1500,.
Collection of Ten Thousand Leaves" (Man'yōshū),759,759,.
Life of Charlemagne" (Vita Karoli Magni),830,830,.
Bede,672,735,Anglo-Saxon scholar and author of "Ecclesiastical History of the English People"
Al-Khansa,575,645,Arabic poet known for her elegies and praise poems
Li Bai,701,762,Chinese poet of the Tang Dynasty
Du Fu,712,770, Prominent Chinese poet during the Tang Dynasty
Kakinomoto no Hitomaro,662,710,Influential Japanese poet of the Nara period
Paul the Deacon,720,799, Lombard historian and author of "Historia Langobardorum"
Hildegarde of Bingen,1098,1179,German writer and composer and philosopher and mystic
Rabia Basri,717,801, Prominent Islamic mystic and poet
Sei Shōnagon,966,1017,Japanese author known for "The Pillow Book"
Al-Jahiz ,776,868, Arabic prose writer and polymath
Einhard,775,840,Frankish scholar and biographer of Charlemagne
Liutprand of Cremona,920,972, Italian historian and diplomat
Saadia Gaon,882,942,Jewish philosopher and theologian and exegete
Anskar ,801,865, Christian missionary and the first Archbishop of Hamburg-Bremen
Hrotsvitha of Gandersheim ,935, 1002, German poet and playwright of the early Middle Ages
Al-Ḥasan ibn Hani' al-Hakami , 700,800,Arabic poet known for his elegies and panegyrics.
Al-Farazdaq,641,728,Prominent Arabic poet of the Umayyad period.
Al-Akhtal,640,710,Another celebrated Arabic poet known for his verses.
Lu Yu,733,804, Chinese poet and essayist renowned for his work on tea "The Classic of Tea."
Bai Juyi ,772,846,Influential Chinese poet of the Tang Dynasty known for his advocacy of social reform through poetry.
Alcuin of York,735,804, English scholar and theologian and poet who became an important figure in the Carolingian Renaissance.
Liu Zongyuan,773,819,Chinese writer and  poet and essayist known for his essays on various topics including politics and history and philosophy.
Hayyim ben Judah ibn Maghira,900,940,Jewish poet and philosopher known for his liturgical poetry.
Notker the Stammerer,840,912,Benedictine monk and musician and poet from the Carolingian Empire known for his writings and musical compositions.
Nasr II ,915,967, Persian poet who served as the ruler of the Samanid dynasty and was known for his patronage of literature and poetry.
Adi Shankaracharya ,788,820, Indian philosopher and theologian who composed numerous hymns and philosophical works.
Avicenna (Ibn Sina),980,1037,Persian polymath known for his contributions to medicine and philosophy and literature including his famous work "The Canon of Medicine."
Murasaki Shikibu ,973,1014, Japanese novelist and poet best known for writing "The Tale of Genji" often considered one of the world's first novels.
Al-Mutanabbi , 915,965 , Prominent Arabic poet known for his eloquent and often political verses.
Saigyo ,1118,1190, Japanese poet known for his waka poetry and particularly his nature-themed verses.
Al-Tabari,839,923, Persian historian and exegete and polymath known for his comprehensive historical chronicle "Tarikh al-Tabari."
Al-Maʿarri,973,1057,Arab philosopher and poet and writer known for his skeptical and often satirical poetry.
Ōtomo no Yakamochi ,718,785, Japanese poet and nobleman known for his contributions to the "Man'yōshū" anthology of poetry.
Al-Fadl ibn al-Rabi,755,823, Prominent Arabic poet of the Abbasid era.
Ahmad ibn Hanbal,780,855, Arab theologian and jurist and founder of the Hanbali school of Islamic jurisprudence.
Al-Jahiz,776,868,Arab prose writer and polymath known for his wide-ranging literary works and essays.
Rabia Basri,717,801,Early Islamic mystic and poet known for her mystical poetry expressing divine love.
Al-Bukhari,810,870,Islamic scholar best known for his compilation of hadith "Sahih al-Bukhari."
Liu Zongyuan,773,819, Chinese writer and poet and essayist known for his philosophical essays and poetry.
Du Fu,712,770,One of the most prominent Chinese poets of the Tang Dynasty and known for his realistic and socially conscious poetry.
Han Yu,768,824, Influential Chinese writer and poet and essayist known for his literary reforms and classical prose.
